BaseItem,BaseItemN,Result,ResultN,Description
Rowa Fruit,1,[Common] Essential Alchemic,2,Found easily throughout The Lands Between.
Herba,1,[Common] Essential Alchemic,3,Found in thickets and elsewhere.
Erdleaf Flower,1,[Common] Essential Alchemic,3,Found easily throughout The Lands Between.
Mushroom,1,[Common] Essential Alchemic,4,Found in damp thickets and elsewhere.
Faded Erdleaf Flower,1,[Common] Essential Alchemic,4,Found in Caelid and Dragonbarrow.
Golden Rowa,1,[Common] Essential Alchemic,4,Found in Altus Plateau.
Rimed Rowa,1,[Common] Essential Alchemic,5,Found in Mountaintops of the Giants.
[Rare] Ingenious Alchemic,1,[Common] Essential Alchemic,15,
Formic Rock,1,[Rare] Ingenious Alchemic,6,Found at/near Ainsel River and other places where giant ants live.
[Common] Essential Alchemic,30,[Rare] Ingenious Alchemic,1,
Living Jar Shard,1,[Rare] Ingenious Alchemic,2,Dropped by Living Jars.
Great Dragonfly Head,1,[Rare] Ingenious Alchemic,4,Dropped by Giant Dragonfly.
Old Fang,1,[Rare] Ingenious Alchemic,6,Dropped by carnivorous beasts.
Budding Horn,1,[Rare] Ingenious Alchemic,6,Dropped by herbivorous beasts.
Human Bone Shard,1,[Rare] Ingenious Alchemic,6,Found by hunting Those Who Live in Death.
Crab Eggs,1,[Rare] Ingenious Alchemic,6,Dropped by Crabs.
Land Octopus Ovary,1,[Rare] Ingenious Alchemic,6,Dropped by Land Octopus.
Nascent Butterfly,1,[Rare] Ingenious Alchemic,12,Found rarely throughout The Lands Between.
[Legendary] Miraculous Alchemic,1,[Rare] Ingenious Alchemic,15,
Miquella's Lily,1,[Legendary] Miraculous Alchemic,1,Found rarely throughout The Lands Between
Arteria Leaf,1,[Legendary] Miraculous Alchemic,1,Found rarely throghout The Lands Between.
[Rare] Ingenious Alchemic,30,[Legendary] Miraculous Alchemic,1,
Cracked Crystal,1,[Magic] Glimmering Substance,2,Found in crystal caves.
Glintstone Firefly,1,[Magic] Glimmering Substance,3,Found at/near Liurnia of the Lakes.
Crystal Cave Moss,1,[Magic] Glimmering Substance,4,Found in dark caves.
Crystal Bud,1,[Magic] Glimmering Substance,4,Found in Liurnia of the Lakes.
Volcanic Stone,1,[Fire] Blazing Substance,1,Found near Mt. Gelmir.
Fire Blossom,1,[Fire] Blazing Substance,3,Found in the Mountaintops of the Giants.
Smoldering Butterfly,1,[Fire] Blazing Substance,9,Found near wildfires and elsewhere.
Fulgurbloom,1,[Lightning] Crackling Substance,6,Found in lightning-struck lands.
Gravel Stone,1,[Lightning] Crackling Substance,12,Found in lands once beset by ancient dragons.
Tarnished Golden Sunflower,1,[Holy] Blessed Substance,1,Found near Minor Erdtrees.
Golden Sunflower,1,[Holy] Blessed Substance,2,Found near Minor Erdtrees.
Golden Centipede,1,[Holy] Blessed Substance,8,Found near churches and similar.
Poisonbloom,1,[Poison] Noxious Extract,6,Found on poisoned ground.
Gold-Tinged Excrement,1,[Poison] Noxious Extract,8,Found in woods and thickets.
Great Dragonfly Head,1,[Poison] Noxious Extract,10,Dropped by Giant Dragonfly.
Faded Erdleaf Flower,1,[Scarlet Rot] Scarlet Extract,3,Found in Caelid and Dragonbarrow.
Toxic Mushroom,1,[Scarlet Rot] Scarlet Extract,4,Found at/near rotten lands.
Formic Rock,1,[Scarlet Rot] Scarlet Extract,8,Found at/near Ainsel River and other places where giant ants live.
Aeonian Butterfly,1,[Scarlet Rot] Scarlet Extract,12,Found near scarlet rot.
Bloodrose,1,[Bloodloss] Bloody Extract,4,Found near blood-soaked soil.
Sacramental Bud,1,[Bloodloss] Bloody Extract,8,Found exceedingly rarely throughout The Lands Between.
Blood-Tainted Excrement,1,[Bloodloss] Bloody Extract,8,Found at/near Mohgwyn Palace.
Eye of Death,1,[Deathblight] Blighted Extract,8,Dropped by Basilisks.
Rimed Rowa,1,[Frostbite] Rimed Extract,3,Found in Mountaintops of the Giants.
Rimed Crystal Bud,1,[Frostbite] Rimed Extract,3,Found in cold regions.
Slumbering Egg,1,[Sleep] Sedative Extract,10,Dropped by Owl.
Trina's Lily,1,[Sleep] Sedative Extract,12,Found exceedingly rarely throughout The Lands Between.
Yellow Ember,1,[Madness] Maddening Extract,4,Found at/near  lands afflicted by frenzy.
Eye of Yelough,1,[Madness] Maddening Extract,6,Found in lands afflicted by frenzy.
Sliver of Meat,1,[Flesh] Gory Amalgamate,3,Dropped by herbivorous beasts.
Beast Liver,1,[Flesh] Gory Amalgamate,3,Dropped by herbivorous beasts.
Strip of White Flesh,1,[Flesh] Gory Amalgamate,3,Dropped by creatures devoid of blood.
Turtle Neck Meat,1,[Flesh] Gory Amalgamate,4,"Dropped by Miriel, Pastor of Vows."
Lump of Flesh,1,[Flesh] Gory Amalgamate,6,Dropped by carnivorous beasts.
Beast Blood,1,[Flesh] Gory Amalgamate,12,Dropped by carnivorous beasts.
Root Resin,1,[Resin] Adhesive Amalgamate,4,Found near trees or the roots of the Greattree.
Gold-Tinged Excrement,1,[Resin] Adhesive Amalgamate,4,Found in woods and thickets.
Albinauric Bloodclot,1,[Resin] Adhesive Amalgamate,6,Dropped by Albinaurics.
Altus Bloom,1,[Perfumer] Fragrant Amalgamate,3,Found in Altus Plateau.
Budding Cave Moss,1,[Perfumer] Fragrant Amalgamate,4,Found at/near dark caves.
Miranda Powder,1,[Perfumer] Fragrant Amalgamate,18,Dropped by Miranda Sprouts.
Dewkissed Herba,1,[Siofra Ainsel] Starry Amalgamate,3,Found in underground cities.
Melted Mushroom,1,[Siofra Ainsel] Starry Amalgamate,3,Found in and around the Eternal City.
Melted Mushroom,1,[Silver] Silvery Amalgamate,2,Found in and around the Eternal City.
Silver Tear Husk,1,[Silver] Silvery Amalgamate,3,Found in and around the Eternal City.
Silver Firefly,1,[Silver] Silvery Amalgamate,4,Found near cold waters untouched by sunlight.
Albinauric Bloodclot,1,[Silver] Silvery Amalgamate,8,Dropped by Albinaurics.
Cave Moss,1,[Dungeons] Mildewy Amalgamate,2,Found in dark caves.
Crystal Cave Moss,1,[Dungeons] Mildewy Amalgamate,3,Found in dark caves.
Grave Violet,1,[Dungeons] Mildewy Amalgamate,5,Found at/near graveyards and catacombs.
Sanctuary Stone,1,[Gold] Golden Amalgamate,2,Found rarely near the remains of fallen ruins.
Gold Firefly,1,[Gold] Golden Amalgamate,4,Found in waters close to Minor Erdrees.
Gold-Tinged Excrement,1,[Gold] Golden Amalgamate,6,Found in woods and thickets.
Cracked Crystal,1,[Crystal] Crystalline Amalgamate,1,Found in crystal caves.
Crystal Cave Moss,1,[Crystal] Crystalline Amalgamate,3,Found in dark caves.
